City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kurayoshi,75,JP,1537585200,73,35.43,133.83,78.8,6.93
Codrington,0,AU,1537590462,68,-28.95,153.24,69.7,3.6
Gazli,0,UZ,1537590463,50,40.13,63.45,57.82,2.93
Pahrump,1,US,1537588380,21,36.21,-115.98,89.06,4.7
Nioaque,8,BR,1537590464,87,-21.16,-55.83,73.12,4.27
The Valley,20,AI,1537588800,74,18.22,-63.06,82.4,9.17
Deputatskiy,0,RU,1537590465,68,69.3,139.9,33.07,4.05
Naziya,0,RU,1537590465,73,59.84,31.59,64.12,10.98
Fort Nelson,5,CA,1537588800,74,58.81,-122.69,30.2,2.24
Qaqortoq,56,GL,1537588200,80,60.72,-46.03,33.8,4.7
Lavrentiya,12,RU,1537590467,93,65.58,-170.99,45.58,24.52
Jalu,0,LY,1537590467,69,29.03,21.55,65.02,3.04
Beaufort,75,MY,1537588800,83,5.36,115.76,87.8,3.36
Flinders,44,AU,1537585200,25,-34.58,150.85,73.4,8.05
Kieta,56,PG,1537590469,100,-6.22,155.63,77.08,3.71
Zhanaozen,0,KZ,1537590469,82,43.35,52.85,51.52,2.93
Ciudad Valles,68,MX,1537590470,96,21.99,-99.01,74.2,0.92
Pressbaum,0,AT,1537588200,71,48.18,16.08,55.4,21.92
Proletarskiy,0,RU,1537587000,71,50.79,35.77,57.2,8.95
Egvekinot,80,RU,1537590226,92,66.32,-179.17,44.68,3.38
Sangar,80,RU,1537590472,69,63.92,127.47,42.52,3.38
Gizo,40,IL,1537588200,73,31.8,34.94,75.2,3.36
Sao Felix do Xingu,0,BR,1537590473,88,-6.64,-51.99,75.91,2.26
Sterling Heights,75,US,1537589700,53,42.58,-83.03,62.96,14.99
Karasburg,24,NA,1537590474,25,-28.01,18.75,48.82,6.4
Muyezerskiy,44,RU,1537590475,74,63.93,31.65,63.22,11.21
Bhaderwah,0,IN,1537590476,50,32.98,75.72,61.69,1.14
Jinchang,0,CN,1537590476,54,38.52,102.19,55.48,1.14
Nanortalik,36,GL,1537590477,100,60.14,-45.24,35.14,6.4
Ust-Omchug,76,RU,1537590477,69,61.13,149.63,39.82,3.49
Vallenar,0,CL,1537590478,82,-28.58,-70.76,50.53,1.81
Pimentel,0,BR,1537590478,76,-3.7,-45.5,76.99,6.62
Marystown,44,CA,1537590479,100,47.17,-55.16,45.04,9.53
Trinidad,8,UY,1537590479,87,-33.52,-56.9,61.51,4.94
Porto Novo,0,BR,1537588800,93,-23.68,-45.44,62.6,2.59
Anadyr,75,RU,1537585200,87,64.73,177.51,50,4.47
Oktyabrskoye,68,RU,1537590481,86,56.73,85.44,58.54,3.49
Alyangula,0,AU,1537590481,79,-13.85,136.42,83.47,15.23
Shingu,75,JP,1537585200,69,33.72,135.99,82.4,16.11
Tiksi,92,RU,1537590483,96,71.64,128.87,35.95,10.65
Chivay,20,PE,1537590484,55,-15.64,-71.6,29.29,1.59
Houma,68,CN,1537590484,43,35.63,111.36,68.44,3.27
Palasbari,75,IN,1537587000,84,26.14,91.55,86,5.82
Kalmunai,20,LK,1537590485,84,7.42,81.82,81.04,10.54
Fare,92,PF,1537590225,100,-16.7,-151.02,76.54,22.62
Bonthe,92,SL,1537590486,96,7.53,-12.5,76.54,5.61
Tashla,0,RU,1537587000,100,53.71,49.75,51.8,2.24
Shache,24,CN,1537590314,42,38.42,77.24,62.14,5.5
Nisia Floresta,20,BR,1537588800,83,-6.09,-35.21,75.2,5.82
Saint-Joseph,75,FR,1537588800,88,43.56,6.97,73.4,3.36
Karasjok,92,NO,1537588200,75,69.47,25.52,44.6,8.05
Amarante do Maranhao,8,BR,1537590381,64,-5.57,-46.74,78.79,6.17
Santa Rosa,12,AR,1537590492,40,-36.62,-64.29,66.91,15.01
Netivot,0,IL,1537590493,86,31.42,34.59,55.48,2.37
Aklavik,75,CA,1537588800,45,68.22,-135.01,42.8,3.36
Graaff-Reinet,0,ZA,1537590494,62,-32.25,24.53,30.64,2.93
Oistins,40,BB,1537588800,78,13.07,-59.53,80.6,12.75
Dunedin,0,NZ,1537590495,70,-45.87,170.5,61.78,2.26
Uruzgan,0,AF,1537590496,64,32.93,66.63,40.18,2.15
Helena,1,US,1537588380,50,46.59,-112.04,57.02,3.36
Hambantota,68,LK,1537590497,100,6.12,81.12,77.35,8.75
Sorland,92,NO,1537590498,100,67.67,12.69,51.61,31.68
Nsanje,0,MZ,1537590498,91,-16.92,35.26,66.28,7.85
Hun,0,BE,1537588200,81,50.34,4.87,51.8,9.17
Naze,40,NG,1537585200,100,5.43,7.07,71.6,1.59
Ulaangom,88,MN,1537590500,50,49.98,92.07,44.59,2.04
Kabin Buri,20,TH,1537590501,91,13.95,101.72,84.37,4.16
Verkhoyansk,48,RU,1537590501,70,67.55,133.39,35.23,4.05
Iqaluit,75,CA,1537588800,86,63.75,-68.52,26.6,5.82
Batemans Bay,36,AU,1537590502,68,-35.71,150.18,64.66,4.5
Pacific Grove,90,US,1537588500,90,36.62,-121.92,57.92,5.82
Talnakh,12,RU,1537590504,92,69.49,88.39,43.87,11.21
Chapleau,68,CA,1537590504,86,47.85,-83.4,41.08,10.2
Wakkanai,75,JP,1537585200,63,45.41,141.67,62.6,10.29
Rio Cuarto,0,AR,1537585200,64,-33.13,-64.35,71.6,16.11
Xining,32,CN,1537590506,78,36.62,101.77,46.3,3.6
Zaysan,12,KZ,1537590506,76,47.47,84.87,54.67,2.48
Quilmana,56,PE,1537590507,83,-12.95,-76.38,58.45,2.26
San Patricio,0,PY,1537590507,91,-26.98,-56.83,69.34,2.59
Catio,8,GW,1537590508,92,11.28,-15.25,76.18,10.09
Marawi,88,PH,1537590508,81,8,124.29,75.64,3.49
Brazzaville,56,CD,1537588800,83,-4.27,15.27,75.2,4.7
Broken Hill,0,AU,1537590509,49,-31.97,141.45,74.29,5.17
Morros,0,BR,1537588800,83,-2.87,-44.04,78.8,8.05
Nome,75,US,1537588500,91,30.04,-94.42,80.06,7.4
Moses Lake,1,US,1537588380,46,47.13,-119.28,66.02,3.36
Nemuro,75,JP,1537585200,67,43.32,145.57,62.6,11.41
Tarutyne,0,UA,1537590512,80,46.19,29.15,49.81,1.92
Wanning,75,AT,1537588200,87,48.64,13.53,53.6,9.17
Sayyan,0,YE,1537590513,40,15.17,44.32,50.71,3.6
Racine,1,US,1537588500,64,42.73,-87.78,57.02,13.87
Doha,20,QA,1537587000,79,25.29,51.53,89.6,5.82
Portland,75,US,1537588380,54,45.52,-122.67,69.98,4.7
Kundiawa,0,PG,1537590515,66,-6.02,144.97,71.59,0.92
Khasan,0,RU,1537590515,90,42.43,130.64,67,3.83
Anito,80,PH,1537590516,100,12.45,125.29,79.42,8.97
Klaksvik,80,FO,1537588200,93,62.23,-6.59,44.6,26.4
